First Name,Last Name,Salary,Position,Team,Opponent,Projection
Jalen McDaniels,1,4.7,PF,TOR,SAC,13.29
Al Horford,1,7.7,C,BOS,MIL,21.65
Talen Horton-Tucker,1,4.8,SF,UTA,OKC,13.45
Svi Mykhailiuk,1,4.5,SG,BOS,MIL,12.3
Nicolas Batum,1,5,PF,PHI,PHX,13.64
Tristan Thompson,1,4.8,C,CLE,MIA,13
Obi Toppin,1,6.1,PF,IND,DET,16.52
Ben Sheppard,1,4.5,SF,IND,DET,12.16
Chris Paul,1,8.7,PG,GSW,MEM,23.44
Alex Len,1,4.4,C,SAC,TOR,11.83
Chris Duarte,1,4.6,SF,SAC,TOR,12.36
Cameron Payne,1,4.8,PG,PHI,PHX,12.74
Delon Wright,1,4.7,PG,MIA,CLE,12.33
Bones Hyland,1,5.9,PG,LAC,POR,15.33
Pat Connaughton,1,5,SG,MIL,BOS,12.58
DeJon Jarreau,1,5.5,SG,MEM,GSW,13.6
Matisse Thybulle,1,5.7,SF,POR,LAC,14.07
Eric Gordon,1,5.5,SG,PHX,PHI,13.47
Gordon Hayward,1,5.7,SF,OKC,UTA,13.83
Davion Mitchell,1,4.5,PG,SAC,TOR,10.82
Amir Coffey,1,5.5,PF,LAC,POR,13.13
Craig Porter Jr.,1,4.7,PG,CLE,MIA,11.04
Gary Payton II,1,4.5,SF,GSW,MEM,9.95
Luka Samanic,1,4.4,PF,UTA,OKC,9.56
Drew Eubanks,1,4.6,C,PHX,PHI,9.84
Troy Brown Jr.,1,4.5,SF,DET,IND,9.48
AJ Green,1,4.6,SG,MIL,BOS,9.67
Haywood Highsmith,1,4.5,SF,MIA,CLE,9.26
Jaylin Williams,1,4.6,C,OKC,UTA,9.34
Aaron Wiggins,1,4.5,SG,OKC,UTA,9.12
Luke Kornet,1,4.9,C,BOS,MIL,9.93
Kenrich Williams,1,4.6,PF,OKC,UTA,8.76
Daniel Theis,1,4.9,C,LAC,POR,8.75
Duop Reath,1,4.6,C,POR,LAC,7.7
Jordan Goodwin,1,7.4,PG,MEM,GSW,11.08
Xavier Tillman Sr.,1,4.7,C,BOS,MIL,5.78
Bol Bol,1,4.6,C,PHX,PHI,5.53
Kenyon Martin Jr.,1,4.5,SF,PHI,PHX,5.07
Doug McDermott,1,4.7,SF,IND,DET,5.18
Mason Plumlee,1,4.8,C,LAC,POR,4.8
Moses Moody,1,4.9,SG,GSW,MEM,4.53
Oshae Brissett,1,4.5,PF,BOS,MIL,3.81
Wenyen Gabriel,1,4.6,PF,MEM,GSW,3.59
Micah Potter,1,4.4,C,UTA,OKC,3.33
Malachi Flynn,1,4.4,PG,DET,IND,2.88
Jaden Springer,1,4.4,SG,BOS,MIL,2.57
Johnny Juzang,1,4.7,SG,UTA,OKC,2.48
P.J. Tucker,1,4.5,PF,LAC,POR,2.21
Ish Wainright,1,4.4,SF,PHX,PHI,1.61
Jason Preston,1,4.4,PG,UTA,OKC,0.9
Ömer Yurtseven,1,4.7,C,UTA,OKC,0.95
Kira Lewis Jr.,1,4.3,PG,UTA,OKC,0.81
Javon Freeman-Liberty,1,4.5,SG,TOR,SAC,0.84
Mike Muscala,1,4.4,C,OKC,UTA,0.65
Kessler Edwards,1,4.3,SF,SAC,TOR,0.61
Rayan Rupert,1,4.4,SG,POR,LAC,0.62
Brandon Boston Jr.,1,4.5,SG,LAC,POR,0.6
