Lineup,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Points1,Points2,Points3,Points4,Points5,Points6,Points7
L33,Dalano Banton,Bruce Brown,Jontay Porter,De'Aaron Fox,Chet Holmgren,Domantas Sabonis,Jalen Williams,25.25,32.81,25.79,49.67,39.19,58.67,37.55
L34,Gradey Dick,Trayce Jackson-Davis,Bobby Portis,Shai Gilgeous-Alexander,Damian Lillard,Jimmy Butler,Cade Cunningham,26.1,24.06,31.18,56.41,48.66,40.61,41.94
L35,Stanley Umude,Payton Pritchard,Shai Gilgeous-Alexander,Myles Turner,Damian Lillard,Tobias Harris,Kevin Durant,26.45,24.63,56.41,35.57,48.66,31.26,45.59
L36,Gradey Dick,Thomas Bryant,Shai Gilgeous-Alexander,Tyrese Haliburton,Jimmy Butler,Tyrese Maxey,Jonathan Kuminga,26.1,22.93,56.41,46.97,40.61,43.89,31.59
L37,Jontay Porter,Brice Sensabaugh,Bobby Portis,Shai Gilgeous-Alexander,James Harden,Domantas Sabonis,Keyonte George,25.79,23.02,31.18,56.41,40.87,58.67,33.0
L38,Gradey Dick,Bruce Brown,Shai Gilgeous-Alexander,De'Aaron Fox,Myles Turner,Jalen Williams,Draymond Green,26.1,32.81,56.41,49.67,35.57,37.55,30.72
L39,Gradey Dick,Bruce Brown,Shai Gilgeous-Alexander,Damian Lillard,Jusuf Nurkic,Jonathan Kuminga,Caris LeVert,26.1,32.81,56.41,48.66,35.65,31.59,37.64
L40,Stanley Umude,Shai Gilgeous-Alexander,De'Aaron Fox,Keegan Murray,Collin Sexton,Tobias Harris,Jalen Duren,26.45,56.41,49.67,29.98,36.92,31.26,37.52
L41,Bruce Brown,Brice Sensabaugh,Bobby Portis,Shai Gilgeous-Alexander,Jusuf Nurkic,Jimmy Butler,Jayson Tatum,32.81,23.02,31.18,56.41,35.65,40.61,48.72
L42,Stanley Umude,Brice Sensabaugh,Shai Gilgeous-Alexander,Tyrese Haliburton,Tyrese Maxey,Kelly Olynyk,Jalen Duren,26.45,23.02,56.41,46.97,43.89,33.95,37.52
L43,Stanley Umude,Gradey Dick,Trayce Jackson-Davis,Shai Gilgeous-Alexander,James Harden,Jayson Tatum,Kevin Durant,26.45,26.1,24.06,56.41,40.87,48.72,45.59
L44,Bruce Brown,Trayce Jackson-Davis,Taylor Hendricks,De'Aaron Fox,Damian Lillard,Tyrese Haliburton,Jimmy Butler,32.81,24.06,25.07,49.67,48.66,46.97,40.61
L45,Stanley Umude,Jontay Porter,De'Aaron Fox,Damian Lillard,Collin Sexton,Jimmy Butler,Pascal Siakam,26.45,25.79,49.67,48.66,36.92,40.61,40.11
L46,Gradey Dick,Bruce Brown,Keegan Murray,Damian Lillard,James Harden,Tobias Harris,Domantas Sabonis,26.1,32.81,29.98,48.66,40.87,31.26,58.67
L47,Stanley Umude,Gradey Dick,Jontay Porter,Damian Lillard,Domantas Sabonis,Kelly Olynyk,Jayson Tatum,26.45,26.1,25.79,48.66,58.67,33.95,48.72
L48,Gradey Dick,Brice Sensabaugh,Jordan Nwora,Shai Gilgeous-Alexander,Collin Sexton,Domantas Sabonis,Cade Cunningham,26.1,23.02,25.14,56.41,36.92,58.67,41.94
L49,Gradey Dick,Dalano Banton,Jordan Nwora,Shai Gilgeous-Alexander,Damian Lillard,Jalen Duren,Jayson Tatum,26.1,25.25,25.14,56.41,48.66,37.52,48.72
L50,Gradey Dick,Thomas Bryant,Trayce Jackson-Davis,Shai Gilgeous-Alexander,Chet Holmgren,Domantas Sabonis,Kawhi Leonard,26.1,22.93,24.06,56.41,39.19,58.67,40.33
L51,Thomas Bryant,Bobby Portis,Shai Gilgeous-Alexander,Keon Ellis,De'Aaron Fox,Domantas Sabonis,Aaron Nesmith,22.93,31.18,56.41,22.05,49.67,58.67,26.87
L52,Bruce Brown,Payton Pritchard,Trayce Jackson-Davis,Shai Gilgeous-Alexander,Tyrese Haliburton,Kelly Olynyk,Jayson Tatum,32.81,24.63,24.06,56.41,46.97,33.95,48.72
L53,Bruce Brown,Orlando Robinson,Jordan Nwora,Shai Gilgeous-Alexander,De'Aaron Fox,Tyrese Haliburton,Paul George,32.81,18.01,25.14,56.41,49.67,46.97,38.64
L54,Stanley Umude,Trayce Jackson-Davis,Shai Gilgeous-Alexander,Tyrese Haliburton,Collin Sexton,Chet Holmgren,Caris LeVert,26.45,24.06,56.41,46.97,36.92,39.19,37.64
L55,Stanley Umude,Gradey Dick,Taylor Hendricks,De'Aaron Fox,Domantas Sabonis,Tyrese Maxey,Caris LeVert,26.45,26.1,25.07,49.67,58.67,43.89,37.64
L56,Stanley Umude,Bobby Portis,Shai Gilgeous-Alexander,Damian Lillard,James Harden,Jusuf Nurkic,Khris Middleton,26.45,31.18,56.41,48.66,40.87,35.65,28.49
L57,Stanley Umude,Jontay Porter,Bobby Portis,De'Aaron Fox,Jusuf Nurkic,Domantas Sabonis,Kawhi Leonard,26.45,25.79,31.18,49.67,35.65,58.67,40.33
L58,Bruce Brown,Jontay Porter,Shai Gilgeous-Alexander,Myles Turner,Domantas Sabonis,Aaron Nesmith,John Collins,32.81,25.79,56.41,35.57,58.67,26.87,31.0
L59,Bruce Brown,Trayce Jackson-Davis,Bobby Portis,Shai Gilgeous-Alexander,Scoot Henderson,Domantas Sabonis,Jalen Williams,32.81,24.06,31.18,56.41,26.54,58.67,37.55
L60,Gradey Dick,Bruce Brown,Jontay Porter,Shai Gilgeous-Alexander,Darius Garland,Pascal Siakam,Jayson Tatum,26.1,32.81,25.79,56.41,37.19,40.11,48.72
L61,Stanley Umude,Bruce Brown,Payton Pritchard,James Harden,Domantas Sabonis,Jalen Williams,Kevin Durant,26.45,32.81,24.63,40.87,58.67,37.55,45.59
L62,Stanley Umude,Jontay Porter,Shai Gilgeous-Alexander,De'Aaron Fox,Kelly Olynyk,Darius Garland,Caris LeVert,26.45,25.79,56.41,49.67,33.95,37.19,37.64
L63,Stanley Umude,Bobby Portis,De'Aaron Fox,Damian Lillard,Tyrese Haliburton,Aaron Nesmith,Jalen Duren,26.45,31.18,49.67,48.66,46.97,26.87,37.52
L64,Dalano Banton,Bruce Brown,Shai Gilgeous-Alexander,De'Aaron Fox,Jusuf Nurkic,Aaron Nesmith,Pascal Siakam,25.25,32.81,56.41,49.67,35.65,26.87,40.11
L65,Jontay Porter,Brice Sensabaugh,Shai Gilgeous-Alexander,Taylor Hendricks,De'Aaron Fox,Tyrese Haliburton,Desmond Bane,25.79,23.02,56.41,25.07,49.67,46.97,39.88
L66,Gradey Dick,Bobby Portis,De'Aaron Fox,Myles Turner,Tyrese Haliburton,Collin Sexton,Jimmy Butler,26.1,31.18,49.67,35.57,46.97,36.92,40.61
L67,Stanley Umude,Jordan Nwora,Shai Gilgeous-Alexander,Scoot Henderson,Jusuf Nurkic,Domantas Sabonis,Caris LeVert,26.45,25.14,56.41,26.54,35.65,58.67,37.64
L68,Stanley Umude,Brice Sensabaugh,De'Aaron Fox,Myles Turner,Damian Lillard,Chet Holmgren,Tyrese Maxey,26.45,23.02,49.67,35.57,48.66,39.19,43.89
L69,Thomas Bryant,Bruce Brown,Payton Pritchard,Tyrese Haliburton,Jimmy Butler,Domantas Sabonis,Pascal Siakam,22.93,32.81,24.63,46.97,40.61,58.67,40.11
L70,Stanley Umude,Shai Gilgeous-Alexander,Taylor Hendricks,Myles Turner,Tyrese Haliburton,Jusuf Nurkic,Kawhi Leonard,26.45,56.41,25.07,35.57,46.97,35.65,40.33
L71,Stanley Umude,Brice Sensabaugh,Shai Gilgeous-Alexander,Damian Lillard,Cade Cunningham,John Collins,Jarrett Allen,26.45,23.02,56.41,48.66,41.94,31.0,38.87
L72,Gradey Dick,Trayce Jackson-Davis,Shai Gilgeous-Alexander,De'Aaron Fox,Tyrese Haliburton,Isaac Okoro,Pascal Siakam,26.1,24.06,56.41,49.67,46.97,23.14,40.11
L73,Gradey Dick,Thomas Bryant,Jordan Nwora,Damian Lillard,Tyrese Haliburton,Domantas Sabonis,Jalen Williams,26.1,22.93,25.14,48.66,46.97,58.67,37.55
L74,Dalano Banton,Payton Pritchard,Bobby Portis,Shai Gilgeous-Alexander,Jaden Ivey,Domantas Sabonis,Kawhi Leonard,25.25,24.63,31.18,56.41,29.94,58.67,40.33
L75,Bruce Brown,Jordan Nwora,Shai Gilgeous-Alexander,Myles Turner,Collin Sexton,Jimmy Butler,Chet Holmgren,32.81,25.14,56.41,35.57,36.92,40.61,39.19
L76,Stanley Umude,Jontay Porter,Shai Gilgeous-Alexander,Damian Lillard,Jonathan Kuminga,Desmond Bane,Jalen Williams,26.45,25.79,56.41,48.66,31.59,39.88,37.55
L77,Stanley Umude,Bruce Brown,Shai Gilgeous-Alexander,Jusuf Nurkic,Kelly Olynyk,Devin Booker,Jalen Williams,26.45,32.81,56.41,35.65,33.95,43.49,37.55
L78,Stanley Umude,Jontay Porter,Keegan Murray,James Harden,Jimmy Butler,Domantas Sabonis,Tyrese Maxey,26.45,25.79,29.98,40.87,40.61,58.67,43.89
L79,Stanley Umude,Jontay Porter,Shai Gilgeous-Alexander,Tobias Harris,Tyrese Maxey,Cade Cunningham,Pascal Siakam,26.45,25.79,56.41,31.26,43.89,41.94,40.11
L80,Stanley Umude,Bruce Brown,Tyrese Haliburton,Jaden Ivey,Domantas Sabonis,Kelly Olynyk,Caris LeVert,26.45,32.81,46.97,29.94,58.67,33.95,37.64
L81,Dalano Banton,Jontay Porter,Shai Gilgeous-Alexander,Keegan Murray,Tyrese Haliburton,Keyonte George,Jayson Tatum,25.25,25.79,56.41,29.98,46.97,33.0,48.72
L82,Stanley Umude,Shai Gilgeous-Alexander,Keegan Murray,Myles Turner,Jimmy Butler,Malik Monk,Cade Cunningham,26.45,56.41,29.98,35.57,40.61,34.91,41.94
L83,Dalano Banton,Bruce Brown,Damian Lillard,Jusuf Nurkic,Jimmy Butler,Chet Holmgren,Tyrese Maxey,25.25,32.81,48.66,35.65,40.61,39.19,43.89
L84,Gradey Dick,Bobby Portis,Shai Gilgeous-Alexander,De'Aaron Fox,James Harden,Georges Niang,Jarrett Allen,26.1,31.18,56.41,49.67,40.87,22.99,38.87
L85,Dalano Banton,Bruce Brown,De'Aaron Fox,Myles Turner,Damian Lillard,Kelly Olynyk,Kawhi Leonard,25.25,32.81,49.67,35.57,48.66,33.95,40.33
