First Name,Last Name,Salary,Position,Team,Opponent,Projection,Points,Rebounds,Assists,3PM,final_projections
Malik Beasley,1,6.5,SG,MIL,BOS,22.07,9.89,3.475,1.165,2.54,17.251250000000002
Paul Reed,1,7.2,PF,PHI,PHX,24.4,5.62,5.65,1.47,0.125,14.950000000000001
Walker Kessler,1,6.9,C,UTA,OKC,23.34,6.529999999999999,7.62,1.17,0.03,17.825
Darius Garland,1,11.0,PG,CLE,MIA,37.19,17.11,2.605,6.805,2.1399999999999997,31.64375
Jarrett Allen,1,11.5,C,CLE,MIA,38.87,13.085,10.02,2.74,0.0,29.72
Devin Booker,1,12.9,PG,PHX,PHI,43.49,23.725,4.5600000000000005,7.74,1.84,41.955000000000005
Pascal Siakam,1,11.9,PF,IND,DET,40.11,23.740000000000002,6.27,4.305,1.405,38.7375
Caris LeVert,1,11.2,SF,CLE,MIA,37.64,11.655000000000001,3.88,4.640000000000001,1.24,24.085000000000004
Jayson Tatum,1,14.5,SF,BOS,MIL,48.72,23.810000000000002,6.73,4.19,2.795,39.90500000000001
Jalen Williams,1,11.2,SF,OKC,UTA,37.55,20.455,3.745,4.5649999999999995,1.855,32.911249999999995
Toumani Camara,1,5.1,SF,POR,LAC,17.03,7.405,5.085,1.29,1.07,16.23125
Draymond Green,1,9.2,PF,GSW,MEM,30.72,8.695,8.665000000000001,6.135,0.855,29.15625
Jaime Jaquez Jr.,1,7.1,SF,MIA,CLE,23.68,13.26,3.5300000000000002,2.5949999999999998,1.0150000000000001,22.072499999999998
Jake LaRavia,1,7.0,SF,MEM,GSW,23.22,10.934999999999999,3.795,1.8599999999999999,1.55,19.24375
Gary Trent Jr.,1,10.1,SG,TOR,SAC,33.46,15.98,2.5650000000000004,2.185,3.005,23.966250000000002
Kawhi Leonard,1,12.2,SF,LAC,POR,40.33,24.835,5.81,3.26,2.4699999999999998,38.2225
Kevin Durant,1,13.8,PF,PHX,PHI,45.59,26.205,7.33,5.359999999999999,1.8450000000000002,44.33
Nikola Jovic,1,4.9,SF,MIA,CLE,16.18,10.254999999999999,3.84,2.0300000000000002,2.145,19.172500000000003
Paul George,1,11.8,SF,LAC,POR,38.64,24.615000000000002,4.98,3.62,3.355,37.947500000000005
Khris Middleton,1,8.8,SF,MIL,BOS,28.49,15.285,4.515000000000001,6.345000000000001,1.795,31.343750000000004
Stephen Curry,1,13.3,PG,GSW,MEM,42.47,23.53,4.355,4.945,4.23,38.50625
Brook Lopez,1,7.8,C,MIL,BOS,24.86,13.969999999999999,5.234999999999999,1.675,2.365,24.20875
Deandre Ayton,1,13.2,C,POR,LAC,42.0,8.97,10.52,1.62,0.01,24.554999999999996
Kelly Oubre,1,9.4,SF,PHI,PHX,29.74,18.72,4.63,1.7349999999999999,1.985,28.1025
Andrew Wiggins,1,7.1,SF,GSW,MEM,22.45,13.675,5.22,1.525,1.3900000000000001,23.182499999999997
Anfernee Simons,1,12.5,SG,POR,LAC,39.49,20.0,2.675,5.35,2.9050000000000002,32.82125
Santi Aldama,1,8.2,PF,MEM,GSW,25.9,12.059999999999999,5.69,2.2699999999999996,2.13,23.642500000000002
Jaren Jackson Jr.,1,12.6,PF,MEM,GSW,39.72,23.445,5.3,2.335,2.05,34.5975
Bradley Beal,1,11.2,SG,PHX,PHI,35.1,11.919999999999998,4.865,5.02,1.835,26.44875
Mo Bamba,1,4.9,C,PHI,PHX,15.32,3.585,4.43,0.535,0.485,10.167499999999999
T.J. McConnell,1,8.0,PG,IND,DET,24.93,9.665,2.87,4.855,0.575,20.8225
Terance Mann,1,5.8,PG,LAC,POR,18.05,11.715,3.175,1.7000000000000002,0.8,18.63375
James Wiseman,1,6.2,C,DET,IND,19.26,6.755000000000001,5.34,0.9099999999999999,0.0,14.795
Jalen Smith,1,6.6,PF,IND,DET,20.49,8.885,5.54,1.2999999999999998,1.455,18.487499999999997
Grayson Allen,1,8.2,SG,PHX,PHI,25.09,15.835,4.16,2.935,4.005,27.44
Klay Thompson,1,8.9,SG,GSW,MEM,27.17,16.285,2.88,2.12,3.595,24.862499999999997
Patty Mills,1,4.5,PG,MIA,CLE,13.73,5.63,1.1600000000000001,1.8,1.2000000000000002,10.38
Derrick White,1,11.5,SG,BOS,MIL,35.08,13.440000000000001,3.3200000000000003,4.529999999999999,2.665,25.7175
Kristaps Porzingis,1,12.4,PF,BOS,MIL,37.68,17.71,6.43,2.165,1.065,29.5275
Buddy Hield,1,6.6,SF,PHI,PHX,19.96,10.615,3.085,1.98,2.11,18.49625
Jaylen Brown,1,12.9,SG,BOS,MIL,38.96,19.83,5.675,3.415,1.7149999999999999,32.90375
Jabari Walker,1,6.8,PF,POR,LAC,20.37,9.79,7.045,0.87,0.71,20.256249999999998
Norman Powell,1,7.4,SG,LAC,POR,22.11,12.935,3.245,1.0550000000000002,2.075,19.611250000000002
Isaiah Joe,1,4.8,SG,OKC,UTA,14.27,7.095000000000001,2.0,0.8049999999999999,1.695,11.65
Caleb Martin,1,7.9,PF,MIA,CLE,23.4,10.95,4.795,2.0100000000000002,1.395,20.656250000000004
Josh Giddey,1,9.1,SG,OKC,UTA,26.83,11.94,6.885,5.135,1.365,28.931250000000002
John Konchar,1,7.6,SG,MEM,GSW,22.11,2.45,5.105,2.6399999999999997,0.5549999999999999,13.06875
Luguentz Dort,1,7.2,SF,OKC,UTA,20.66,9.370000000000001,3.0549999999999997,1.29,1.665,15.95625
Cason Wallace,1,5.2,PG,OKC,UTA,14.89,7.545,2.75,1.33,1.31,13.632499999999999
Marcus Morris Sr.,1,4.8,PF,CLE,MIA,13.6,4.8149999999999995,2.23,0.74,0.63,9.027499999999998
Jalen McDaniels,1,4.7,PF,TOR,SAC,13.29,3.2750000000000004,1.6400000000000001,0.645,0.125,6.355000000000001
Al Horford,1,7.7,C,BOS,MIL,21.65,9.195,6.470000000000001,3.98,1.9,24.202499999999997
Talen Horton-Tucker,1,4.8,SF,UTA,OKC,13.45,8.68,2.08,3.565,1.025,17.139999999999997
Svi Mykhailiuk,1,4.5,SG,BOS,MIL,12.3,5.08,1.53,0.42,1.27,8.2575
Nicolas Batum,1,5.0,PF,PHI,PHX,13.64,6.38,3.75,1.805,1.105,14.327499999999999
Tristan Thompson,1,4.8,C,CLE,MIA,13.0,3.38,3.99,0.8200000000000001,0.0,9.5975
Obi Toppin,1,6.1,PF,IND,DET,16.52,9.48,3.8200000000000003,1.74,1.4300000000000002,17.580000000000002
Ben Sheppard,1,4.5,SF,IND,DET,12.16,4.395,2.135,0.745,0.74,8.551249999999998
Chris Paul,1,8.7,PG,GSW,MEM,23.44,10.32,4.575,7.34,1.07,27.58375
Alex Len,1,4.4,C,SAC,TOR,11.83,4.615,1.85,1.0350000000000001,0.0,8.48
Chris Duarte,1,4.6,SF,SAC,TOR,12.36,8.25,1.83,0.98,1.605,12.81
Cameron Payne,1,4.8,PG,PHI,PHX,12.74,10.21,2.42,2.56,1.5350000000000001,17.8425
Delon Wright,1,4.7,PG,MIA,CLE,12.33,4.449999999999999,2.115,1.995,0.745,10.45875
Bones Hyland,1,5.9,PG,LAC,POR,15.33,6.619999999999999,1.4,2.08,1.115,12.047499999999998
Pat Connaughton,1,5.0,SG,MIL,BOS,12.58,5.244999999999999,2.6799999999999997,1.5350000000000001,0.825,11.309999999999999
DeJon Jarreau,1,5.5,SG,MEM,GSW,13.6,4.25,6.8,2.865,0.175,17.134999999999998
Matisse Thybulle,1,5.7,SF,POR,LAC,14.07,6.86,1.965,1.375,1.82,12.28875
Eric Gordon,1,5.5,SG,PHX,PHI,13.47,8.899999999999999,2.0,1.81,1.585,14.907499999999999
Gordon Hayward,1,5.7,SF,OKC,UTA,13.83,7.38,3.34,1.94,0.97,14.95
